iter	Logloss
308	0.3224517929
309	0.3220671384
310	0.321691376
311	0.3214199298
312	0.3210657804
313	0.3208582605
314	0.3205866592
315	0.3203357364
316	0.3200327979
317	0.3197019796
318	0.3193840147
319	0.3191146114
320	0.3187620011
321	0.3184612663
322	0.3182819426
323	0.3179851988
324	0.3177238411
325	0.3174408513
326	0.3170796642
327	0.3167920356
328	0.3165583384
329	0.3162539768
330	0.3159889218
331	0.3158125359
332	0.3153625741
333	0.3150223983
334	0.314824458
335	0.3144969835
336	0.3142472789
337	0.3139409871
338	0.313823026
339	0.3135920705
340	0.3132909538
341	0.3130905785
342	0.3126891839
343	0.3123651235
344	0.3121911002
345	0.3119891949
346	0.3116794647
347	0.3113253823
348	0.3110046828
349	0.3108228849
350	0.310577341
351	0.3103636405
352	0.310058326
353	0.3097877358
354	0.3095539011
355	0.3093571706
356	0.3090952188
357	0.3088926285
358	0.3086019646
359	0.3083622005
360	0.3080828109
361	0.3078416072
362	0.307517336
363	0.3071953649
364	0.3069959902
365	0.3067367551
366	0.3064432845
367	0.3060367285
368	0.3058133446
369	0.3055870297
370	0.3052609631
371	0.3049978002
372	0.3047631777
373	0.3046086746
374	0.3043361444
375	0.3040309701
376	0.3037857852
377	0.3035307482
378	0.3031296493
379	0.302875276
380	0.3026321005
381	0.302374132
382	0.3022102721
383	0.301949711
384	0.3017105501
385	0.3014444968
386	0.3011211534
387	0.3008828729
388	0.3006935452
389	0.3003867852
390	0.3002364574
391	0.2999962788
392	0.2997258493
393	0.299555372
394	0.2991171772
395	0.2988897572
396	0.298633144
397	0.2983992959
398	0.2982522567
399	0.2980228682
400	0.2978289789
401	0.2976366226
402	0.2974351989
403	0.2972028033
404	0.2969862544
405	0.2966647741
406	0.2964703753
407	0.2960887845
408	0.2958544968
409	0.2956123752
410	0.295228346
411	0.2949470437
412	0.2947538771
413	0.2944312473
414	0.2941671167
415	0.2939043283
416	0.2936137584
417	0.2933405725
418	0.293090938
419	0.2928258531
420	0.2925128024
421	0.2922172825
422	0.2920146972
423	0.2917925506
424	0.2914641032
425	0.2910305373
426	0.2906968344
427	0.2903535878
428	0.2900979735
429	0.2898596315
430	0.2895537373
431	0.2892990626
432	0.2890716561
433	0.2888449125
434	0.2886901901
435	0.2884296827
436	0.2882200018
437	0.2880900953
438	0.2877487442
439	0.2874933543
440	0.2873396308
441	0.2871505749
442	0.2869372792
443	0.2867136621
444	0.2863008728
445	0.2860100133
446	0.2857839182
447	0.2855185265
448	0.2852832472
449	0.2850344451
450	0.2847991742
451	0.2846215578
452	0.2844304609
453	0.284168184
454	0.2838699824
455	0.2836026423
456	0.2834549235
457	0.2831460931
458	0.282990126
459	0.282768222
460	0.2824787989
461	0.2822871256
462	0.2820123512
463	0.2817625786
464	0.2815810933
465	0.281307267
466	0.2811340522
467	0.2808016677
468	0.2806165484
469	0.2804749175
470	0.2802714065
471	0.2800827987
472	0.2797914044
473	0.2795853438
474	0.2793462833
475	0.2792148718
476	0.2789427623
477	0.2787399038
478	0.2785946553
479	0.2783631358
480	0.2780734543
481	0.2778290218
482	0.2776246562
483	0.2773795386
484	0.2771872561
485	0.2769746199
486	0.2767623247
487	0.2765005492
488	0.2763224618
489	0.276101785
490	0.275968649
491	0.2757273661
492	0.2754949361
493	0.2751373059
494	0.2749335234
495	0.2747270627
496	0.2745282622
497	0.2743592513
498	0.2741570551
499	0.2739964356
